link,title,watch,bullet_chat,time,up
https://www.bilibili.com/video/av92929227?from=search,新冠肺炎疫情【韩国大邱医生自拍隔离医院内部场景，医护工作两小时休息两小时还是疲惫】相比我们国家的医护，无论是物资还是作息你们已经很幸福了！,5.0万,41,2020-03-02,朱朱爱草菇
https://www.bilibili.com/video/av92339012?from=search,日本肺炎疫情扩散下的东京通勤早高峰，宛如病毒最佳培养皿,10.0万,772,2020-02-28,哎呀陈哥
https://www.bilibili.com/video/av92893866?from=search,本以为疫情只会损失个把月房租，但疫情引起的连锁反应才是餐饮业最大的打击,4.0万,98,2020-03-02,广西小陈TT
https://www.bilibili.com/video/av92443054?from=search,韩国疫情蔓延严重 首尔市民排队抢购口罩,8.0万,395,2020-02-28,小央视频
https://www.bilibili.com/video/av87880170?from=search,【木鱼微剧场】回望《非典十年祭》，或许它是如今肺炎疫情的启示录,95.2万,2.1万,2020-02-10,木鱼水心
https://www.bilibili.com/video/av92230869?from=search,特朗普谈新冠肺炎疫情：像对待流感一样对待它,7.6万,197,2020-02-27,广东共青团
https://www.bilibili.com/video/av91363933?from=search,疫情期间我在日本高烧39.3 医院竟因为我是中国人拒绝接收！,24.6万,1340,2020-02-24,周陌的周末不快乐
https://www.bilibili.com/video/av92295228?from=search,谭德塞：中国以外地区成最大担忧 全球疫情处关键时刻,26.2万,476,2020-02-28,观察者网
https://www.bilibili.com/video/av92016060?from=search,日本疫情对应新情况 甩锅踢皮球 马拉松照常跑 过度乐观,54.3万,2641,2020-02-27,东京大明白
https://www.bilibili.com/video/av91798578?from=search,美卫生部长要求国会拨款对抗疫情：口罩出现2亿7千万缺口,43.3万,869,2020-02-26,观察者网
https://www.bilibili.com/video/av91580979?from=search,日本疫情的分析，为什么还有信心办奥运会呢？,11.9万,507,2020-02-25,只会卖药的药贩子
https://www.bilibili.com/video/av92477410?from=search,韩国疫情面临失控？10天内从31增长到1766,1.3万,20,2020-02-29,weizhuozhuo
https://www.bilibili.com/video/av87181906?from=search,洛圣都出动！援助武汉！抗击疫情！【GTA5/超燃抗疫MV】,91.8万,4586,2020-02-07,一米鸭脖
https://www.bilibili.com/video/av90987048?from=search,日本疫情爆发前「撤离东京」vlog 005,50.2万,5855,2020-02-23,NinYo-
https://www.bilibili.com/video/av92248481?from=search,【全球疫情地图】韩国成亚洲第二大疫区！全球已有45个国家被感染！,2.1万,25,2020-02-28,中国封面
https://www.bilibili.com/video/av88622878?from=search,抗击疫情，在家学做街头美食，八盘配菜做一碗面，两大碗吃不过瘾,173.4万,2.0万,2020-02-13,徐大sao
https://www.bilibili.com/video/av85163377?from=search,因疫情无法返乡，清华博士宅在家给猫讲函数,150.6万,2449,2020-01-26,青墨染指Lrn
https://www.bilibili.com/video/av90863991?from=search,新型冠状病毒恐吞噬日本全国！日本疫情严峻，呼吁日本民众预防肺炎疫情爆发,13.5万,637,2020-02-22,Saint彼得大叔
https://www.bilibili.com/video/av85508117?from=search,简单算算，你宅在家里究竟能为抗击肺炎疫情做出多大贡献？,168.6万,1.9万,2020-01-29,毕导THU
https://www.bilibili.com/video/av92333985?from=search,6点起床发现药妆店大排队，厕纸都被买空了？！【日本抗疫情宅生活④】,1.1万,24,2020-02-28,爱吃的蛋黄酱_阿黄
https://www.bilibili.com/video/av88148490?from=search,疫情后女生的体型&男生的发型,73.9万,1113,2020-02-11,戒喵中心
https://www.bilibili.com/video/av91874470?from=search,【崩坏三】疫情这么严重你还想飙车？？【第二期】,32.1万,2817,2020-02-29,帷幕VMovie
https://www.bilibili.com/video/av90442259?from=search,日本疫情可能即将爆发，恳请所有留日的UP主和其他朋友，立即做好防护工作！,116.7万,8813,2020-02-20,温柔JUNZ
https://www.bilibili.com/video/av92362454?from=search,揭秘B站新晋热榜up主【东京大明白】不为人知的一面。日本肺炎疫情严峻形势下，竟然还有人做出这样的事情,6.3万,189,2020-02-28,哎呀陈哥
https://www.bilibili.com/video/av92370062?from=search,疫情当前，她们作为第一个也是唯一一个全团捐款的女团，捐款额达两亿多韩元,1.4万,31,2020-02-28,Bella_tata
https://www.bilibili.com/video/av91661542?from=search,【眉山论剑】疫情之下，中国如何发掘真正能上一线的人才？,34.5万,2938,2020-02-25,观视频工作室
https://www.bilibili.com/video/av89299468?from=search,韩国首尔循环播放支持中国抗击疫情的视频,5.3万,12,2020-02-16,满世界吃瓜
https://www.bilibili.com/video/av88775834?from=search,罗翔教授讲新型冠状病毒肺炎疫情中的刑法问题（1）,31.5万,6700,2020-02-14,小墨816
https://www.bilibili.com/video/av88290870?from=search,科学家光写论文不抗疫情？几分钟带你看完新冠病毒的所有论文,100.1万,3.8万,2020-02-12,毕导THU
https://www.bilibili.com/video/av92456472?from=search,疫情下日本人竟然疯抢卫生纸！日本怎么了？,1.5万,70,2020-02-29,李李李的生活
https://www.bilibili.com/video/av84951418?from=search,凤凰专访钟南山：已对疫情做最坏打算，湖北武汉病患数量无任何隐瞒,246.8万,885,2020-01-25,莫默ya
https://www.bilibili.com/video/av89252691?from=search,因为疫情催生出的炸裂商业点子。我感觉我要nb了,28.9万,387,2020-02-15,东京大明白
https://www.bilibili.com/video/av88118713?from=search,疫情宅在家，一起发胖呀！试试爆浆巧克力熔岩蛋糕，让我们在胖的路上起飞吧！,102.0万,8482,2020-02-13,奥地利的小胡
https://www.bilibili.com/video/av90985889?from=search,日本疫情快要正式爆发了。日本人艮啾啾的就是不戴口罩，已经700多个确诊了。,54.2万,981,2020-02-23,东京大明白
https://www.bilibili.com/video/av92232009?from=search,德国小伙发起的“我是中国”还在继续，面对疫情德国人真的准备好了？,5.1万,235,2020-02-28,Hey_Tobi
https://www.bilibili.com/video/av92138111?from=search,疫情期间 中央音乐学院民乐系同学在干啥,11.6万,298,2020-02-27,一个小石头哒
https://www.bilibili.com/video/av90100177?from=search,87岁游本昌再扮济公：扇走疫情的“扇子” 在医护人员的手里,174.0万,1.5万,2020-02-19,观察者网
https://www.bilibili.com/video/av92345069?from=search,【疫情速报】韩国疫情持续蔓延！为什么还不着急？,2.1万,75,2020-02-28,韩国小全
