link,title,watch,bullet_chat,time,up
https://www.bilibili.com/video/av91701730?from=search,【诸葛大力】成果组队海棠现场直播吃鸡绝地求生！两人的技术让我大吃一惊，礼物全送你们！,12.7万,335,2020-02-25,Mega蒂娜
https://www.bilibili.com/video/av92169023?from=search,绝地求生：新手必捡的武器！不会压枪也能成功吃鸡！快速入门告别马枪！,7436,30,2020-02-28,chirs解说
https://www.bilibili.com/video/av92870327?from=search,吃鸡和女朋友哪个重要？不好意思，游戏老婆我全都要！奇怪的吃鸡动画增加了！,1.4万,160,2020-03-01,梦棋君
https://www.bilibili.com/video/av70557122?from=search,轰动一时的马老师吃鸡事件，还记得当年的事情吗,51.2万,320,2019-10-08,是雪雪吖-
https://www.bilibili.com/video/av44195166?from=search,吃鸡霸王——鸡霸！！,198.6万,1.1万,2019-02-20,徐大虾咯
https://www.bilibili.com/video/av92904750?from=search,搞笑吃鸡187：11名小学生非法组队，竟敢在厕所交换物资，太逗了,3.4万,97,2020-03-02,大师兄说游
https://www.bilibili.com/video/av92838862?from=search,和平精英：万万没想到，吃鸡多了真的会秃头,1.4万,54,2020-03-01,粤鱼-不知名UP
https://www.bilibili.com/video/av87148574?from=search,帮粉丝装的 800元吃鸡主机,33.3万,1979,2020-02-06,小嗨海
https://www.bilibili.com/video/av71832660?from=search,一盆椒麻鸡，四个家常菜，大sao晚饭吃鸡，再忙也要吃一顿好的,151.4万,8777,2019-10-20,徐大sao
https://www.bilibili.com/video/av59035288?from=search,突击手蜜獾：挑战用“1”灵敏度吃鸡！动都动不了，多亏这个功能帮我！,39.9万,701,2019-07-13,突击手蜜獾
https://www.bilibili.com/video/av92355475?from=search,当凯皇拿到泽鲁斯的那一刻，我就知道我吃鸡了。【全程高能】,1.7万,254,2020-02-28,布偶与蝉
https://www.bilibili.com/video/av82556315?from=search,二老师录屏组：新空投枪DBS，Mini14神仙机瞄吃鸡！,9.2万,391,2020-01-08,二老师原创
https://www.bilibili.com/video/av92972045?from=search,叹为观止！无脑吃鸡之酒馆战棋红龙女王！,1.5万,124,2020-03-02,小软干脆面
https://www.bilibili.com/video/av92192986?from=search,使用大半年后的矿卡199元570和RX580评测——塞ITX机子里畅玩吃鸡是什么体验？,2.0万,70,2020-02-28,西行寺悟空酱
https://www.bilibili.com/video/av83889817?from=search,【小崔今日秀】美帝全民沉迷吃鸡 各方砖家竭力声讨,21.9万,297,2020-01-18,KB诚译
https://www.bilibili.com/video/av89547794?from=search,王牌飞行员申请出战 痛击我的队友 新地图疯狂吃鸡 绝地求生,10.8万,551,2020-02-17,小绝
https://www.bilibili.com/video/av92421985?from=search,500美金 Choco挑战不戴头盔吃鸡！,1.4万,36,2020-02-28,老于字幕
https://www.bilibili.com/video/av20832498?from=search,【花老师】吃鸡玩家的噩梦,94.5万,1.2万,2018-03-16,花少北丶
https://www.bilibili.com/video/av92321974?from=search,【主播碎碎念】73期：群口相声又来了，到底谁是大哥，吃鸡环节，川神被坟前倒立劈叉，甲哥做运动，被蓝胖逮到机会,2.4万,199,2020-02-28,吾是洛洛团长
https://www.bilibili.com/video/av81919019?from=search,“吃鸡”用700个空投箱建造跨海大桥，直达出生岛，一眼望不到头！,21.7万,901,2020-01-03,小贝的游戏食堂
https://www.bilibili.com/video/av51870464?from=search,【动画】YouTube上最糟糕的【吃鸡小队】 !! | エフピーエス【神 x 路 x 白 x 羽】动画作者：鱼二,70.5万,1.1万,2019-05-09,阿神的Bili官方頻道
https://www.bilibili.com/video/av89139768?from=search,大司马一把吃鸡十几个水友！但是其中一个水友突然发飙，把其他水友全部击毙！,18.6万,2113,2020-02-15,吟游大司人
https://www.bilibili.com/video/av70774923?from=search,大密｜10只鸡我拼了｜硬核手机吃鸡测评,118.8万,2.2万,2019-10-10,大胃王密子君
https://www.bilibili.com/video/av70573999?from=search,[自闭挑战]挑战全部300灵敏度吃鸡,41.5万,848,2019-10-08,火烧大烤鱼
https://www.bilibili.com/video/av89594654?from=search,吃鸡决赛圈刷在海上会发生什么？难得一见的场面,10.4万,158,2020-02-17,泽雨FPS
https://www.bilibili.com/video/av92638656?from=search,从吃鸡诞生以来，你猜我共氪金了多少钱？,1.3万,122,2020-02-29,大山解说
https://www.bilibili.com/video/av92232164?from=search,老撕鸡：决赛圈用平底锅单挑M4，一锅下去直接爆头击杀，完美吃鸡,12.8万,501,2020-02-28,老撕鸡解说
https://www.bilibili.com/video/av84703219?from=search,8元的CPU还能干什么？整机只需380元，可畅玩大部分的游戏！！！图拉丁穷吃鸡系列~~~,38.2万,1397,2020-01-23,图吧七七
https://www.bilibili.com/video/av22955400?from=search,【老番茄】鸟语吃鸡！语言不通如何强行交流,207.6万,7600,2018-05-04,老番茄
https://www.bilibili.com/video/av73389656?from=search,“吃鸡”从58层楼高往下投掷平底锅，能砸死楼下的敌人吗？,188.9万,2576,2019-10-25,小贝的游戏食堂
https://www.bilibili.com/video/av92142078?from=search,大山解说：吃鸡中你不知道的6个小知识，看后菜鸟秒变大神！,3.5万,34,2020-02-27,大山解说
https://www.bilibili.com/video/av92221553?from=search,3999元 I3 9100默秒全，玩转主流吃鸡联盟全家桶#GOF工蜂科技,4262,24,2020-02-28,工蜂科技
https://www.bilibili.com/video/av54394022?from=search,二老师教学篇：一个人，一把枪。一棵树，一座城，吃鸡就是这么简单,20.5万,207,2019-06-02,二老师原创
https://www.bilibili.com/video/av91413302?from=search,盒子精：吃鸡外挂到底有多猖獗？情侣开挂一共杀了34名玩家,13.4万,564,2020-02-24,优秀的盒子精
https://www.bilibili.com/video/av88476296?from=search,模仿二老师十字弩加vss吃鸡会发生什么,4.4万,498,2020-02-12,道听途说的猫
https://www.bilibili.com/video/av80300166?from=search,Minecraft 在床上打枪枪【吃鸡床战】 !! 霰弹枪+狙击枪 【没人用剑啦】限定模式 !! 全字幕,43.5万,5333,2019-12-23,阿神的Bili官方頻道
https://www.bilibili.com/video/av92084021?from=search,没想到2000内的配置，不用显卡也能吃鸡，流畅运行很多的大型游戏,1.2万,56,2020-02-27,装机超人小黑
https://www.bilibili.com/video/av91843707?from=search,侠客红尘：猜猜到底是什么任务？物资这么穷，只能靠“偷袭”吃鸡,5182,55,2020-02-26,侠客红小尘
https://www.bilibili.com/video/av89271389?from=search,少侠，见过“1V9”吃鸡的火男吗？,16.7万,467,2020-02-16,云顶小莫
https://www.bilibili.com/video/av88496148?from=search,赶工痕迹明显！吃鸡端游终于上线死斗模式！蓝洞真的很敷衍，一点也不走心,19.2万,247,2020-02-13,Stan李昂
https://www.bilibili.com/video/av90632284?from=search,玩吃鸡的我,6.3万,568,2020-02-21,Anhka
https://www.bilibili.com/video/av89124936?from=search,【X博士特别篇】吃鸡游戏热度大降怎么办？各大厂商都用了什么骚套路,21.4万,1540,2020-02-15,游戏X博士
https://www.bilibili.com/video/av14678314?from=search,【嘟督咆哮解说】在火车上吃鸡是一种什么样的体验？,81.9万,1.0万,2017-09-22,嘟督不噶油
https://www.bilibili.com/video/av92669763?from=search,使命召唤手游：不一样的吃鸡游戏，空投飞机能直接打炸！,3.3万,231,2020-02-29,优秀的盒子精
https://www.bilibili.com/video/av92502580?from=search,韩茜茜吃鸡上瘾！想要黄金风衣！宝哥：咱也搞不到呀！,7.9万,29,2020-02-29,你最爱的杰哥哥吖
https://www.bilibili.com/video/av91628123?from=search,六岁小男孩吃鸡遇到三个怪大叔，一路哄骗带着他们吃到了鸡。,7.7万,260,2020-02-25,猪千千丶
https://www.bilibili.com/video/av92652514?from=search,【乐美解说】 和平精英 大菠萝M249连灭4个小队 14杀进决赛圈却无缘吃鸡,5137,109,2020-02-29,Dream乐美
https://www.bilibili.com/video/av91711371?from=search,带着人机一样的女票吃鸡多难？简直就是单排啊,8.7万,716,2020-02-26,阿春Aspring
https://www.bilibili.com/video/av92669324?from=search,【盘点妹吃鸡】三个女生一起吃鸡的后果是……,1.0万,41,2020-02-29,盘点委员
https://www.bilibili.com/video/av87788799?from=search,Minecraft 我们创造了【吃鸡伺服器】 !! 全裸跳伞开场【Kar98狙击枪】落地找 !! 大吉大利【今晚吃鸡】!! 全字幕,51.9万,1.8万,2020-02-09,阿神的Bili官方頻道
https://www.bilibili.com/video/av92477799?from=search,两个医疗兵扛毒吃鸡，真的能撑到决赛圈么,8064,5,2020-02-29,凉茶游戏解说
https://www.bilibili.com/video/av92221531?from=search,吃鸡再遇加密暗号！还遇到男同水友！吓的马老师直接跑路！,9.1万,3551,2020-02-28,吟游大司人
https://www.bilibili.com/video/av92139815?from=search,侠客红尘：挑战1%灵敏度吃鸡，压枪不存在的，动都动不了,2.0万,73,2020-02-27,侠客红小尘
https://www.bilibili.com/video/av92884843?from=search,美人鱼幕后：吃鸡那场戏重拍了1000次，邓超 林允前后吃掉150只鸡,2.5万,16,2020-03-01,电影幕后喵
https://www.bilibili.com/video/av92522636?from=search,【落叶听松】20200228 天策单排JJC/丐霸秀组排JJC/策霸佛组排吃鸡 || （落叶听松+满血你跑毛+夏小花）,3386,53,2020-02-29,落叶听松直播录像组
https://www.bilibili.com/video/av92480668?from=search,【SNH48】TeamSII 20年2月27日 钱蓓婷 温晶婕 [和平精英]吃鸡直播合辑,4095,30,2020-02-29,SNH48TeamSII应援会
https://www.bilibili.com/video/av91794417?from=search,成果(狗哥)吃鸡直播完整版！全网最好画质，珍藏版，别忘了一键三连哟！,4.8万,1141,2020-02-26,-我是赛亚人-
https://www.bilibili.com/video/av91410059?from=search,【我们宅一起】王牌家族连线 沈腾卡成油画 华晨宇爆料贾玲关晓彤吃鸡不带他,28.4万,2474,2020-02-24,浙江卫视蓝巴巴
https://www.bilibili.com/video/av92245082?from=search,吃鸡新游《影子战场》BETA哈鲁试玩,1.7万,12,2020-02-28,影子Ai
https://www.bilibili.com/video/av91480671?from=search,大司马吃鸡遇到水友，对出加密暗号：歪比歪比！,46.5万,3749,2020-02-25,吟游大司人
https://www.bilibili.com/video/av86694469?from=search,【熊出没鬼畜】蔡徐坤玩吃鸡,16.7万,922,2020-02-04,ぃ果子君
https://www.bilibili.com/video/av90500632?from=search,疯狂快递员：pdd和大司马四排吃鸡，全程爆笑高能,4.7万,125,2020-02-21,海绵比比霜
https://www.bilibili.com/video/av88223750?from=search,【局】在毛子服吃鸡就算遇到外挂也是乱杀,22.9万,1421,2020-02-11,痒局长
https://www.bilibili.com/video/av92841465?from=search,搞笑吃鸡：在拼夕夕上花10块买的鼠标宏，效果居然如此逆天，轻松无后座压枪,1.3万,45,2020-03-01,晨光游戏解说
https://www.bilibili.com/video/av92445048?from=search,大司马2.28直播录像：吃鸡遇到了外挂？兄弟你挂用得都不太利索啊,15.3万,1.1万,2020-02-29,大司马工作室
https://www.bilibili.com/video/av89427133?from=search,【今晚吃鸡】防肺炎的千层套路,7.9万,48,2020-02-16,铁盒里的我
https://www.bilibili.com/video/av55269515?from=search,【猪千千】和六岁陈浩宇家族一起吃鸡，最后队霸（陈浩宇）的爸爸又回来接管了比赛,21.8万,244,2019-06-11,猪千千丶
https://www.bilibili.com/video/av92273431?from=search,【落叶听松】20200227 天策单排JJC/斗地主/苍云绝境赏金赛保20争19（阿越+持风+小弯弯+清儒）/天策散排吃鸡,3512,34,2020-02-28,落叶听松直播录像组
https://www.bilibili.com/video/av92947213?from=search,老鼠寒冰神装，外加鬼书炼金稳稳吃鸡,3.6万,762,2020-03-02,GoDlike_神超
