name,sex,sign,content
极乐落,男,,yagoo：我要让那些嘲讽我偶像梦的人后悔[滑稽]
请叫我鲁迅鸭,男,,谈一下星姐昨天为啥能这么nb，第一个，她加入了hololive，holo在各大社团中能存活到现在有多高的人气可想而知，在p社倒塌后连成为个人势的猫老大都在恢复直播的第一场直播中公然说出加入holo这种言语，星姐能到现在这个地步holo功不可没，但是有一说一，能加入holo也是星姐实力强劲的最大表现。$     第二，也是holo，这个真的暖心啊，大家可能没注意，昨天晚上星姐开播前诗音是有在播的，而一到星姐开播的时间光速下播，要知道这可是诗音生病后的第一场直播，而holo的其他社员在星姐播完后光速开播，这证明什么？这个偶像团体是有多团结？把机会让给同社社员，这是什么神仙团队啊。$    第三也是最重要的一环，星姐强，唱功强，打块强，六边形战士，夜空中最闪耀的一颗彗星，星姐前面依靠和世界第二对战，世界第一观战打块，这可以说是给星姐增加了巨大人气，然后这次3D首次公开，有恰好在热度快降下来又猛地升上去，升到珠穆朗玛峰这么高，再就是唱功了，昨天晚上又是唱又是跳的，明显气不足还能唱的这么强，星姐牛逼！！！$    你们看见了星姐现在的辉煌，看不见星姐加入hol前是有多狼狈，几乎所有企业都没人要这颗外表疯疯癫癫，内心却是实实在在的彗星，直到holo收了她，她放出豪言：“我要让所有看不起我的企业全都后悔！”她做到了，她是世界第一，连续霸榜小破站直播区十一小时，虚空上舰一晚上700多个，这就是星姐，一个永远闪耀着的彗星！！！
-紅黒-,保密,【那人】已與我們相似，能分清善惡，現在恐怕他又伸手去摘生命樹的果子吃，就永遠活著。$,当你认为HOLO3D化时就要整活时  她爱抖露了  亦是一种整活
姜一潮,男,,星姐，永远滴神，经病
星街Crayon,保密,新视频在做了！,想说很多，但关键时刻却一句话也说不出来。$辛苦了，星街彗星。。
一等星の輝き,保密,根据国家相关政策及法律规定，该简介内容不予显示。,彗星来临之夜$之前$在遥远天际，群星璀璨的夜空里，镶嵌着这样的一颗。$这是抬头仰望，藏在众多星座之中，最平凡的一颗星。$她并不是最夺目的，名字？人们知之甚少。$尽管如此，依然有人开始进行观测。$一个又一个的夜晚过去，有些星消逝了，或悄然无息，或轰轰烈烈，有些星却依然存在。$之所以坚定的朝着目标旅行，这是因为她不甘于此。$长长的彗尾划过星间，这是一番怎样景色？$观测者入了迷。$$后来$她闯入了一片星系，艰难重重，且只在偏远一隅，但也算是个安身之处。因为如此，也有不少的人，开始观测身处其中此片星系的她。$光芒愈发灿烂，不知何时，这颗彗星所在之处竟也成了这片星系的一个中心。$但这决不是这趟旅行的终点。$$现在$从地平线延伸展开的天际中，有一抹火蓝疾驰而来。$观测者们纷纷涌上街头，欢呼着，等待着她的来临，当彗星从夜空中划过，彗尾的蔚蓝袭满了整片天空，也洒满了整片街道，街上一片星光烂漫。$其实$星街彗星$星咏者$早已相互知晓…
筑城院稔和,保密,越光之人，滑稽如斯。,一直未被人们所观测到的彗星终于进入了地球的观测轨道，曾在无边无际黑暗中就闪烁着的蓝光，一定会为这无人的夜空染上颜色，如果碰巧有人在这夜空下流泪，那就将一切悲伤染上只属于彗星的颜色，这样也算是为谁带来过救赎了吧。总有一天，当彗星再次划过天空的时候，耀眼的光芒会吸引所有人的目光。$$如彗星般出现的星之原石，偶像系vtb，星街彗星，终于3D化了！！！从同接稳定百人到现在的十万关注，星姐真的太不容易了，但是在昨天，星姐仅仅靠着十多万关注拿下了世界热搜第一！！！星街彗星那耀眼的光芒，终于被世人所观测到了！！！$$已经在丰州live上看过星姐的3D，王道偶像的气场简直压不住，这次的3D披露回星姐终于把自己的的实力全部展现了出来，真的做到了漫天的繁星都因你而暗淡，今天的你就是最闪耀的那颗星啊！！星姐继续冲啊！！向着在武道馆举办演唱会的最终梦想冲啊！！！我会一直推你推到那一天的！！！！！不要停下来啊！！！！！！$$看完星姐的3Dlive和一直在发推界限划的FBK，突然就想起来FBK在星姐新衣服披露后发的推：彗酱的这套衣服…3D化的话，一定会成为Hololive里最闪耀的那个偶像。不多解释，只想感谢yagoo和hololive给了星姐这样的机会，让星姐有了这样的机会。$$好了，星姐你也有3D了，下个小剧场就有你了吧（？$$（一个从开场就落泪到结尾，听到最后一首comet更是忍不住暴风哭泣的dd一边擦眼泪一边写下来的语无伦次的话语。）
赌鬼巫女保护协会,保密,本协会日常翻推/偶尔发布小熟肉/经常上传生肉/协会群号698152963,星姐我来啦啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊！$星姐！星姐！星姐！$今天也很可爱！！！！
某柯moke,男,无知即为希望 单挑群：701464504,加油啊！蓝色的大姐姐(*¯︶¯*)
莉莉哈鲁,男,持续脑洞不足中,这次的3D演出使用的编舞，其实是星姐用了一天不到的时间新编的。$起因是3D演出的前天晚上，天哥和星姐主催的卡拉OK聚会结束之后，星姐被告知原本的歌单里有一部分因为大人的原因不能唱，所以与之对应的编舞也就全部作废了。之后星姐重新选了歌单，并只用一天不到的时间重新编舞，完成了昨日的3D披露演出。以上内容在星姐的会员限定里有提到，并在3D披露当日晚上FBK的ark直播中提及（目前fbk将吹爆星姐一小时的那期ark直播被设为了非公开，而公开的是后来抓螳螂的那一期）
