name,sex,sign,content
猫弦玲,保密,沉迷居北无法自拔,时长还是521，我可太爱这部剧了，剪得真好，字幕排版也好看，神仙up
爱里里里里N,保密,,这应该是我后劲最大的一部韩剧了
长颈鹿and鲸,女,熙来攘往，华灯初上,冬天真的是看鬼怪的季节
樱翯07,女,2006年入韩圈至今$F(VALK)$SVT,2020了我还在磕鬼怪和小新娘
Crush_lz,女,,这个调色我真的爱了
一只露馅的小豆包,女,喵喵喵,up剪的太好辣！！调色超棒der！！
舅母的沉香,保密,,有没有哪位姐妹有完整版的资源！求私！我三刷了！每次刷的还是不完整版！[大哭]心好痛哦！
恬雪凌萧,女,,这个剧一直没看，但是歌一直在听[喜极而泣]
Chameleon罢了,女,为了不神秘我要写点什么,真的想永远停留在那个冬季[爱心]
JT7Mirrors,保密,啦啦啦~,剪辑得好棒 。好美[喜欢][喜欢][喜欢]
15822819944_bili,保密,,此bgm一出，必跪
浣柔2000,保密,情不知所起，一往而深,最爱的一部韩剧啊！！！！
无猫一族,保密,盐与律己，甜以待人,封面看成了鬼夫怪妇[tv_目瞪口呆]
吃遍乐事所有味道,保密,Life is a journey.,521有心了[鸡腿]
女王的蓬蓬君,保密,等我瘦到55公斤就考虑谈恋爱，瘦不到我就胖着一个人开开心心，嘻嘻～,一没东西我就看的剧 我爱鬼怪夫妇呜呜呜
茕之鹿兮,女,不以物喜，不以己悲。,从开播到现在一直都完完整整地躺在坑底 每年冬天都看
折扇呜啦呜,女,嗑cp特别爽，一直嗑一直爽！！,woc好棒！！！！！
果沐君,保密,,太喜欢了，所以我已经用了好几年现在的头像了
轻尘如埃,保密,＠(￣-￣)＠,(=・ω・=)你拥有了一个赞和两个圆圆的东西
取名字是一件复杂的事,保密,,公元202年了！！！我还没出来
萤火丿,男,世界和平,爱了[爱心][爱心][爱心][爱心][爱心][爱心]
胖鱼要做摘星靓女,女,,调色绝美!少主牛逼!表白鬼怪全员以及烈烈!
花田SM的虎砸呀,女,虎砸:朴灿烈怀中宝，整个sm大花田都是我的，嘿嘿嘿。,真的是我最喜欢的韩剧！没有之一！
世间皆苦呀,女,璇儿哥的白月光,我对韩剧的印象还一直停留在鬼怪阶段。
隔壁哈哈哈哈哈,女,哈哈哈哈哈哈哈哈哈哈,地狱使者金宇彬:终究是我不配有姓名[嫌弃][酸了]（一jio踹翻狗粮并且骂骂咧咧地走开）
Oudcci,保密,祝我们都各自拥有美好明天。,遇到你的这一生，是奖赏。
梅子四季春,保密,莫得感情,鬼怪夫妇！！！
想吃布丁啊,女,懒狗,我爆哭啊啊啊啊他们太好了
不开门滴小兔子,保密,,棒啊啊啊啊超喜欢啦[支持][支持][支持][爱心][爱心][爱心]
TeFuir-白雾,保密,,我的冬日限定：鬼怪、糖炒栗子、烤红薯
丸子要好好努力,女,不有趣的灵魂120斤,我的天鸭
梁那個笙,保密,于是樱桃死在盛夏。,我鸡叫！！！鬼怪夫妇太绝了！
TiramiSu丶流光,男,一只有梦想分享快乐的UP^(*￣(oo)￣)^,平面很棒，剪辑节奏很nice
是呆冰鸭,保密,,这真的是目前为止，我见过的剪辑最好的👌，是我最爱的一部韩剧啊，up主大大太棒了[鼓掌]
Ailin0806,保密,,先投币再看
苦瓜幹燉魷魚須,女,路明非,因为这个视频 我要再去刷一遍鬼怪啦！
崂山公主,保密,布鲁布鲁布鲁,搞得我又要回去看一遍了
剑小纯哭出声,男,以剑问道.,首页啦，2020竟然还有人剪鬼怪，不是看见up视频我都忘记我以前看过这个了[偷笑]
乖媳妇工程快快快快,保密,,[热词系列_三连]
薄荷味杜松子酒,女,得到的全是侥幸 失去的全是人生  $$最喜欢的阿婆主 nya酱 爱普罗西 吓十万 王博文 刘哔 徐大虾 $花花三猫$,太心动了切换bgm的时候
西蓝花酱,女,我爱b站游戏区(｡•́__ก̀｡),优质
西蓝花酱,女,我爱b站游戏区(｡•́__ก̀｡),太好看了
毓或未可,保密,,绝了这剪辑这画质这神仙cp啊啊啊啊啊妈妈我不行了妈妈我又可了！
风中有朵雪做的云,保密,知之为知之不知为不知是知也,百看不厌鬼怪呀
乐卿゜,保密,,我心里白月光
简婧九,女,醉后不知天在水，满船清梦压星河。,鬼怪真的是我心中最最最爱的白月光，至今在坑里，手机铃声也没换过，结局也很令人喜爱，他们永远永远不会分开了，真好。
霂生君,保密,嘿嘿嘿,至今是我心里的第一
许慕也,保密,,每一帧都可以截图做桌面啊！！！好用心！
马铃薯pian,保密,,看到釜山行男主就进来了...[妙啊]
跪舔颜狗,保密,,男主在女主怀里灰飞烟灭的时候真的泪目了
可乐味的兔子,女,略略略,永远爱
幼稚鬼息燃,保密,,up好棒啊
明媚如初,女,我舍不得丢掉过去的自己，而我也想埋葬她。,！！！！！！
明媚如初,女,我舍不得丢掉过去的自己，而我也想埋葬她。,我爱鬼怪
橘夕柚,女,,真的是第一部长久爱着的剧，每一次听到bgm，都不由自主想起剧情，心情会很好，很爱很爱的一部!为此还追了女主的奶酪陷阱。无法言说的喜欢，一直也想自己剪出短片，迟迟没有动手[笑哭]
几度泪落,女,万事胜意,永远永远喜欢鬼怪[大哭]
三三越,保密,,最爱的韩剧[爱心]
